Goalie,Jersey,Team,GP,MIN,W,L,T,SO,GA,GAA,SV,SV%
Brandon Santiago,1,Buffalo Goodfellas (NBHL BUF),1,29:00:00,0,1,0,0,3,6.21,16,0.842
Charlie McGarrigle,71,Philadelphia Fear (NBHL PHI),2,40:59:00,0,1,1,0,10,14.64,0,0
Darren Singh,0,Seattle Leafs (NBHL PNW),2,60:00:00,0,2,0,0,14,14,0,0
Eddie Armstrong,0,Chicago Raiders (NBHL CHI),1,30:00:00,0,1,0,0,5,10,0,0
Ethan Mixon,39,Liverpool Hockey Club (NBHL BUF),1,30:00:00,0,1,0,0,4,8,15,0.789
FFT,0,California Pama Golden Knights (NBHL Cal),2,60:00:00,0,0,2,2,0,0,0,0
FFT,0,California Wildfires (NBHL Cal),1,30:00:00,0,0,1,1,0,0,0,0
FFT,1,Delco Demons (NBHL PHI),1,33:00:00,0,0,1,1,0,0,0,0
FFT,1,Harrisburg Hustle (NBHL PHI),1,33:00:00,0,0,1,1,0,0,0,0
FFT,0,Lakeland Caribou (NBHL NJ),1,35:00:00,0,0,1,1,0,0,0,0
FFT,0,Las Vegas Shiners (NBHL Cal),2,60:00:00,0,0,2,2,0,0,0,0
FFT,0,New Jersey Dudes (NBHL NJ(2)),1,35:00:00,0,0,1,1,0,0,0,0
FFT,0,North Hills Militia (NBHL PIT),1,33:00:00,0,0,1,1,0,0,0,0
FFT,0,Orange County Wolves (NBHL Cal),1,30:00:00,0,0,1,1,0,0,0,0
FFT,1,Philadelphia Heat (NBHL PHI),1,33:00:00,0,0,1,1,0,0,0,0
FFT,0,Pittsburgh Pioneers (NBHL PIT),1,33:00:00,0,0,1,1,0,0,0,0
FFT,0,SoCal Royalty (NBHL Cal),2,60:00:00,0,0,2,2,0,0,0,0
Fill In Goalie,0,Fall River Reapers (NBHL NE),2,60:00:00,0,2,0,0,11,11,24,0.686
Fill In Goalie,30,Old Town Sin City (NBHL D.C),1,45:00:00,0,1,0,0,5,6.67,0,0
Fill In Goalie,0,Orange County Wolves (NBHL Cal),1,10:00,0,1,0,0,2,12,3,0.6
Fill in Goalie,30,South Jersey Vikings (NBHL NJ(2)),2,60:00:00,1,1,0,1,3,3,0,0
Frank Arcury,35,Rochester Rink Rats (NBHL BUF),1,30:00:00,0,1,0,0,5,10,30,0.857
