Player,Jersey,Team,GP,G,A,PTS,PIM,PPG
Connor Callahan,16,Mays Landing Mojo (NBHL NJ(2)),6,10,6,16,2,0
Jack Kendall,12,Cleghorn Crooks (NBHL MA),6,3,10,13,0,0
Sean Joyce,20,Arlington Plague (NBHL D.C),5,7,5,12,4,0
Mike Brandimarto,13,Austin Arsenal (NBHL TX),4,4,7,11,0,0
Evan Souza,5,Providence Iron Stags (NBHL NE),5,2,8,10,4,0
Vinnie Tumminello,4,Penn Hills Battalion (NBHL PIT),6,5,5,10,2,0
Adam Jacque,9,Austin Arsenal (NBHL TX),4,4,5,9,0,0
Austin Avampato,81,Penn Hills Imperium (NBHL PIT),6,7,2,9,16,0
Joel Thompson,22,Mays Landing Mojo (NBHL NJ(2)),6,1,8,9,0,0
Korey Sweeney,7,Penn Hills Battalion (NBHL PIT),6,5,4,9,4,0
Korey Wilson,72,Cleghorn Crooks (NBHL MA),6,5,4,9,0,0
Mike Liberty,19,Mays Landing Mojo (NBHL NJ(2)),6,3,6,9,0,0
Brandon Garneau,88,Cleghorn Crooks (NBHL MA),6,4,4,8,0,0
Denny Schlegel,28,Buffalo 716ers (NBHL BUF),4,4,4,8,0,0
Evan Benedict,54,South Jersey Nights Watch (NBHL NJ),4,6,2,8,0,0
Justin Romano,9,South Jersey Space Pirates (NBHL NJ(2)),5,3,5,8,0,0
Matthew Altomare,77,Mid Jersey Mutants (NBHL NJ(2)),7,6,2,8,4,0
Sam Bowles,24,Maryland Sparks (NBHL D.C),6,5,3,8,2,0
Vincent Talbot,27,Arlington Plague (NBHL D.C),5,5,3,8,2,0
AJ Goetz,14,Arlington Plague (NBHL D.C),5,3,4,7,2,0
Andrew Hildreth,32,Central Mass Sea Bass (NBHL MA),6,4,3,7,4,0
Anquan Smith,16,Penn Hills Imperium (NBHL PIT),5,1,6,7,10,0
Brendan Crousey,14,Penn Hills Imperium (NBHL PIT),6,6,1,7,0,0
Jason Pineo,12,Buffalo Goodfellas (NBHL BUF),4,3,4,7,0,0
Jon Hill,19,Buffalo Goodfellas (NBHL BUF),4,4,3,7,2,0
Marty Bell,68,South Jersey Best Friends (NBHL NJ(2)),4,1,6,7,0,0
Ricky Morang,88,Providence Iron Stags (NBHL NE),5,5,2,7,2,0
Riley Drew,5,Central Mass Sea Bass (NBHL MA),6,3,4,7,0,0
Tyler Midwinter,8,Arlington Plague (NBHL D.C),5,2,5,7,2,0
Wade Wylie,9,Seattle Leafs (NBHL PNW),2,5,2,7,0,0
Chris Chambers,11,Maryland Sparks (NBHL D.C),6,2,4,6,17,0
Cory Fredrickson,81,Cleghorn Crooks (NBHL MA),5,2,4,6,0,0
Denis Hickey,13,Marlton Dawgz (NBHL NJ),5,2,4,6,4,0
Ed Botelho,11,Providence Iron Stags (NBHL NE),5,1,5,6,0,0
Jeremy Wargin,29,Chicago Southsiders (NBHL CHI),3,3,3,6,0,0
Josh Merchant,87,Cleghorn Crooks (NBHL MA),6,4,2,6,0,0
Rob Gruber,69,Providence Iron Stags (NBHL NE),5,4,2,6,4,0
Shawn OConnor,21,Penn Hills Battalion (NBHL PIT),5,3,3,6,0,0
Steve Gregory,23,Pittsburgh Pioneers (NBHL PIT),6,3,3,6,0,0
Andrew Bobst,69,Austin Arsenal (NBHL TX),4,2,3,5,0,0
Bob Housser,90,Central Mass Sea Bass (NBHL MA),6,1,4,5,2,0
Cam Cordio,91,Cleghorn Crooks (NBHL MA),6,3,2,5,0,0
Dane Weir,23,Dallas Fort Worth Marksmen (NBHL TX),4,4,1,5,2,0
Danny Cunningham,24,Penn Hills Imperium (NBHL PIT),5,1,4,5,4,0
Dodge Dillon,9,Central Mass Sea Bass (NBHL MA),6,2,3,5,0,0
Eddie Urban,9,Chicago Southsiders (NBHL CHI),3,3,2,5,2,0
Henry Gardiner,37,Providence Iron Stags (NBHL NE),5,2,3,5,0,0
JD Dutney,16,Cleghorn Crooks (NBHL MA),6,1,4,5,0,0
Justin Hancock,1,Pittsburgh Pioneers (NBHL PIT),6,3,2,5,8,0
Justin Pinkerton,8,Seattle Cold Snacks (NBHL PNW),2,1,4,5,0,0
Luke Malloy,19,Lakeland Caribou (NBHL NJ),5,0,5,5,2,0
Owen Mills,91,Penn Hills Imperium (NBHL PIT),6,0,5,5,2,0
Ryan Kosylo,4,Pittsburgh Pioneers (NBHL PIT),6,5,0,5,10,0
Steve Scian,11,Marlton Dawgz (NBHL NJ),5,3,2,5,2,0
Tommy Bowles,89,Maryland Sparks (NBHL D.C),6,1,4,5,4,0
Zach Lampell,81,Arlington Plague (NBHL D.C),5,0,5,5,10,0
Zach Smith,92,Steel City Show Stoppers (NBHL PIT),2,2,3,5,2,0
Alex Roth,3,Washington D.C Haze (NBHL D.C),3,0,4,4,2,0
Anthony Rubino,2,Maryland Sparks (NBHL D.C),6,2,2,4,4,0
Bradley Bujdos,62,Mon Valley Warbirds (NBHL PIT),3,2,2,4,0,0
Brandon Jones,13,Cleghorn Crooks (NBHL MA),6,2,2,4,2,0
Brenden Persichetti,43,Penn Hills Imperium (NBHL PIT),6,3,1,4,18,0
Brian Penders,3,Buffalo 716ers (NBHL BUF),4,1,3,4,0,0
Christian Masselli,86,Providence Iron Stags (NBHL NE),5,2,2,4,0,0
Collin Mailloux,17,Central Mass Sea Bass (NBHL MA),6,1,3,4,2,0
Connor McStravick,26,Philadelphia Heat (NBHL PHI),2,2,2,4,2,0
Dajon Maye,9,Buffalo Goodfellas (NBHL BUF),4,0,4,4,0,0
Dave Goodnow,7,Providence Iron Stags (NBHL NE),5,2,2,4,2,0
Drew Albright,26,Pitcairn Governors (NBHL PIT),5,2,2,4,4,0
Eric Bland,8,Mid Jersey Mutants (NBHL NJ(2)),7,3,1,4,0,0
Gerald Richardson,4,Central Mass Sea Bass (NBHL MA),6,2,2,4,4,0
Harry Sye,61,Dallas Fort Worth Marksmen (NBHL TX),4,3,1,4,4,0
Jackson Sye,58,Dallas Fort Worth Marksmen (NBHL TX),4,0,4,4,2,0
James Buinicky,9,South Jersey Best Friends (NBHL NJ(2)),4,4,0,4,2,0
Jayson Marbach,21,Philadelphia Heat (NBHL PHI),2,0,4,4,9,0
Jordan Albright,26,Steel City Show Stoppers (NBHL PIT),2,2,2,4,2,0
Justin Dunnivan,29,Pitcairn Governors (NBHL PIT),5,2,2,4,10,0
Kyle Chumsae,22,Central Mass Sea Bass (NBHL MA),6,3,1,4,0,0
Marky Bergamasco,8,Penn Hills Imperium (NBHL PIT),6,2,2,4,2,0
Mason Broomall,28,South Jersey Atlantis (NBHL NJ(2)),2,2,2,4,0,0
Matt Hummell,18,Buffalo 716ers (NBHL BUF),4,3,1,4,2,0
Michael Felsing,93,Pitcairn Governors (NBHL PIT),5,3,1,4,0,0
Mike Stief,17,South Jersey Space Pirates (NBHL NJ(2)),5,3,1,4,0,0
Nick Bruno,56,Penn Hills Battalion (NBHL PIT),6,3,1,4,2,0
Ryan Azar,12,Boston Ball Hockey Team (NBHL MA),2,1,3,4,0,0
Travis Veit,72,South Jersey Space Pirates (NBHL NJ(2)),5,3,1,4,2,0
Tyler Grant,91,South Jersey Space Pirates (NBHL NJ(2)),5,0,4,4,8,0
Tyler Thompson,21,Mays Landing Mojo (NBHL NJ(2)),6,2,2,4,0,0
Zach Hamilton,2,Nickel City Smoke (NBHL BUF),2,1,3,4,0,0
Adam Carvalho,73,South Shore Shamrocks (NBHL NE),3,2,1,3,2,0
Adrian Pinzon,12,Mid Jersey Mutants (NBHL NJ(2)),7,2,1,3,0,0
Alec Nicolai,27,Camden County Cobras (NBHL NJ(2)),1,2,1,3,0,0
Ant Abruzzo,27,Lakeland Caribou (NBHL NJ),5,2,1,3,0,0
Anthony Gambone,0,Marlton Dawgz (NBHL NJ),5,1,2,3,10,0
Anthony Migliozzi,9,Pittsburgh Pioneers (NBHL PIT),6,0,3,3,0,0
Anthony Sanrocco,11,Seattle Cold Snacks (NBHL PNW),2,2,1,3,0,0
Antonio Nevano,10,Arlington Plague (NBHL D.C),4,0,3,3,0,0
Blake Biren,34,Mays Landing Mojo (NBHL NJ(2)),6,0,3,3,0,0
Brad Bey,29,Seattle Cold Snacks (NBHL PNW),2,1,2,3,0,0
Brandon Fisher,12,Austin Arsenal (NBHL TX),4,2,1,3,0,0
Brian Dunford,1,Penn Hills Battalion (NBHL PIT),6,0,3,3,12,0
Cam Green,10,Seattle Cold Snacks (NBHL PNW),2,2,1,3,0,0
Carter Shourds,1,South Jersey Space Pirates (NBHL NJ(2)),5,2,1,3,2,0
Chris Adukaitis,16,Washington D.C Haze (NBHL D.C),3,0,3,3,0,0
Derek Chaves,16,Central Mass Sea Bass (NBHL MA),6,1,2,3,0,0
Devin Iverson,91,Seattle Leafs (NBHL PNW),2,3,0,3,0,0
Doug Sanders,13,Lakeland Caribou (NBHL NJ),5,1,2,3,2,0
Eric Bell,91,South Jersey Best Friends (NBHL NJ(2)),4,2,1,3,0,0
Eric Wynn,92,Austin Arsenal (NBHL TX),4,2,1,3,0,0
Eric Zankel,10,Pittsburgh Pioneers (NBHL PIT),6,1,2,3,0,0
Erik Zak,88,Orange County Wolves (NBHL Cal),2,2,1,3,0,0
Franco Massaro,15,South Shore Shamrocks (NBHL NE),3,2,1,3,0,0
Gabe Ferrara,13,Chicago Raiders (NBHL CHI),2,1,2,3,0,0
Jake Lataille,19,Providence Iron Stags (NBHL NE),5,2,1,3,0,0
Jake Shourds,16,South Jersey Space Pirates (NBHL NJ(2)),5,1,2,3,2,0
Jared Pinter,92,Buffalo 716ers (NBHL BUF),4,2,1,3,2,0
Jason Haines,8,Penn Hills Battalion (NBHL PIT),6,3,0,3,0,0
Jay Sabino,27,Maryland Sparks (NBHL D.C),6,2,1,3,0,0
Jeff Hamlin,82,Central Mass Sea Bass (NBHL MA),6,2,1,3,0,0
Jess Hackett,89,Buffalo 716ers (NBHL BUF),4,1,2,3,2,0
John Camara,33,Southcoast Scrappers (NBHL NE),6,2,1,3,0,0
Jonny Ruiz,24,Marlton Dawgz (NBHL NJ),5,1,2,3,0,0
Josh Faust,50,Pitcairn Governors (NBHL PIT),5,2,1,3,2,0
Josh Jaszcz,13,Buffalo 716ers (NBHL BUF),4,3,0,3,0,0
Joshua Hall,22,Austin Arsenal (NBHL TX),4,1,2,3,0,0
Kevin Hollenbeck,42,Mays Landing Mojo (NBHL NJ(2)),6,3,0,3,0,0
Kevin Roby,8,Maryland Sparks (NBHL D.C),6,0,3,3,4,0
Luke Kovalchuk,97,Mon Valley Warbirds (NBHL PIT),3,3,0,3,2,0
Mark Kourt,9,Washington D.C Haze (NBHL D.C),3,3,0,3,2,0
Mark Szymanski,11,Pittsburgh Pioneers (NBHL PIT),6,1,2,3,0,0
Matthew Hutter,71,Mays Landing Mojo (NBHL NJ(2)),6,2,1,3,0,0
Michael Katz,19,Camden County Cobras (NBHL NJ(2)),2,2,1,3,0,0
Mike Henry,1,Lakeland Caribou (NBHL NJ),5,2,1,3,4,0
Mike Paiva,10,Southcoast Scrappers (NBHL NE),6,1,2,3,12,0
Noah Green,5,Buffalo Goodfellas (NBHL BUF),4,0,3,3,2,0
Pat Sullivan,27,South Shore Shamrocks (NBHL NE),3,2,1,3,0,0
Phil Klitirinos,23,Seattle Cold Snacks (NBHL PNW),2,2,1,3,0,0
Phil Tranter,81,Pittsburgh Pioneers (NBHL PIT),6,1,2,3,0,0
Rick Zimmick,8,Steel City Show Stoppers (NBHL PIT),2,0,3,3,0,0
Ryan Beswick,0,South Jersey Nights Watch (NBHL NJ),4,1,2,3,2,0
Ryan Consolvo,8,Cleghorn Crooks (NBHL MA),6,1,2,3,0,0
Ryan Duggan,94,Boston Ball Hockey Team (NBHL MA),2,3,0,3,0,0
Ryan Zydel,2,Seattle Cold Snacks (NBHL PNW),2,2,1,3,2,0
Sam Wood,26,Seattle Cold Snacks (NBHL PNW),2,1,2,3,0,0
Sean Fasbinder,44,Arlington Plague (NBHL D.C),4,1,2,3,4,0
Steve Bowman,20,South Jersey Best Friends (NBHL NJ(2)),4,2,1,3,0,0
Steve Cader,8,South Jersey Best Friends (NBHL NJ(2)),4,0,3,3,2,0
Steve Stenderowicz,22,Philadelphia Fear (NBHL PHI),2,2,1,3,2,0
Tim Sitar,27,Chicago Dolphins (NBHL CHI),1,3,0,3,0,0
Todd Sacco,99,Mays Landing Mojo (NBHL NJ(2)),6,2,1,3,2,0
Zach Gower,92,South Jersey Nights Watch (NBHL NJ),4,3,0,3,4,0
Alex Higareda,5,South Jersey Nights Watch (NBHL NJ),4,1,1,2,2,0
Alex Marcinkowski,92,Chicago Southsiders (NBHL CHI),3,1,1,2,0,0
Andrew Kramer,19,Pennsylvania Nights Watch (NBHL PHI),2,1,1,2,4,0
Andrew Maas,15,Nickel City Smoke (NBHL BUF),2,2,0,2,0,0
Andrew Trapani,91,Evesham Tortugas (NBHL NJ),1,1,1,2,0,0
Austin Gower,9,South Jersey Nights Watch (NBHL NJ),4,0,2,2,2,0
Austin Yaeger,77,Washington D.C Haze (NBHL D.C),2,1,1,2,2,0
Bernard Richards,3,Harrisburg Hustle (NBHL PHI),2,1,1,2,0,0
Bob Heintz,7,Washington D.C Haze (NBHL D.C),2,1,1,2,0,0
Bobby Sokol,2,Mon Valley Warbirds (NBHL PIT),3,0,2,2,6,0
Brandon Harley,97,Bellmawr Hawks (NBHL NJ),3,2,0,2,2,0
Brenden Bendorf,89,New Jersey Dudes (NBHL NJ(2)),2,0,2,2,0,0
Bryan Kane,2,South Jersey Space Pirates (NBHL NJ(2)),5,1,1,2,2,0
Carl Schoenherr,86,Washington D.C Haze (NBHL D.C),3,1,1,2,0,0
Carlos Luis Arguable Ochoa,30,Seattle Leafs (NBHL PNW),2,1,1,2,0,0
Chase Malloy,97,Pitcairn Governors (NBHL PIT),5,1,1,2,2,0
Chris Thorp,19,Maryland Sparks (NBHL D.C),6,0,2,2,2,0
Christian Magliocco,71,Pittsburgh Pioneers (NBHL PIT),6,1,1,2,0,0
Collin Flanagan,3,Seattle Cold Snacks (NBHL PNW),2,1,1,2,0,0
Conor Barney,81,Austin Arsenal (NBHL TX),4,2,0,2,0,0
Corey Medeiros,10,Austin Arsenal (NBHL TX),4,1,1,2,4,0
Dan Bruner,79,Chicago Raiders (NBHL CHI),2,1,1,2,0,0
Dan Reynolds,17,Falls Church Phantoms (NBHL D.C),2,1,1,2,0,0
Dante Vietro,87,Mid Jersey Mutants (NBHL NJ(2)),7,1,1,2,0,0
Dave Molitierno,44,Pittsburgh Pioneers (NBHL PIT),6,1,1,2,0,0
Dave Norton,65,South Shore Shamrocks (NBHL NE),3,0,2,2,0,0
Derek Benedict,23,South Jersey Nights Watch (NBHL NJ),2,0,2,2,0,0
Dominic Romanini,71,Buffalo Goodfellas (NBHL BUF),4,2,0,2,2,0
Drew Weatherby,28,Bellmawr Hawks (NBHL NJ),3,0,2,2,0,0
Ed Barret,11,South Jersey Nights Watch (NBHL NJ),4,0,2,2,4,0
Eric Zimmerman,77,Bellmawr Hawks (NBHL NJ),3,2,0,2,0,0
Jake Battista,17,Mon Valley Warbirds (NBHL PIT),3,1,1,2,0,0
Jamie Isett,24,Philadelphia Fear (NBHL PHI),2,0,2,2,0,0
Jared Maska,32,South Jersey Nights Watch (NBHL NJ),4,0,2,2,0,0
Jason McGowan,77,Mays Landing Mojo (NBHL NJ(2)),6,1,1,2,0,0
Jason Perry,69,Southcoast Scrappers (NBHL NE),6,0,2,2,2,0
Jason Rocha,3,Southcoast Scrappers (NBHL NE),6,1,1,2,0,0
Jay Stanton,13,South Jersey Space Pirates (NBHL NJ(2)),5,1,1,2,0,0
Jeff Bolf,83,Mays Landing Mojo (NBHL NJ(2)),4,1,1,2,2,0
Jim Booth,96,South Jersey Best Friends (NBHL NJ(2)),4,1,1,2,0,0
Jimmy Kiesel,10,Penn Hills Imperium (NBHL PIT),6,0,2,2,4,0
Joe Hadley,16,Pittsburgh Pioneers (NBHL PIT),4,0,2,2,0,0
Joey Lynch,90,Mays Landing Mojo (NBHL NJ(2)),6,0,2,2,4,0
John Kennedy,28,Pennsylvania Nights Watch (NBHL PHI),2,0,2,2,0,0
Johnny Booth,12,South Jersey Best Friends (NBHL NJ(2)),4,1,1,2,6,0
Jonny Pacheco,52,Southcoast Scrappers (NBHL NE),6,1,1,2,2,0
Josh Woody,16,Maryland Sparks (NBHL D.C),5,1,1,2,8,0
Justin Moynihan,4,Providence Iron Stags (NBHL NE),5,1,1,2,0,0
Karlton Damota,68,Providence Iron Stags (NBHL NE),5,0,2,2,2,0
Keith Ciana,21,Harrisburg Hustle (NBHL PHI),2,1,1,2,7,0
KoKo Suomela,20,Mon Valley Warbirds (NBHL PIT),3,1,1,2,0,0
Luke Jones,17,Boston Ball Hockey Team (NBHL MA),2,2,0,2,0,0
Matt Esposito,10,Nickel City Smoke (NBHL BUF),2,1,1,2,2,0
Matt Grivnovics,16,Philadelphia Heat (NBHL PHI),2,2,0,2,0,0
Matt Levesque,22,Cleghorn Crooks (NBHL MA),6,1,1,2,0,0
Matt Williams,1,Oak Ridge Owls (NBHL MA),2,1,1,2,0,0
Mike DiCampli,25,Delco Demons (NBHL PHI),1,1,1,2,0,0
Mike Malloy,97,Lakeland Caribou (NBHL NJ),5,1,1,2,0,0
Mike Morandi,24,Central Mass Sea Bass (NBHL MA),6,1,1,2,4,0
Mike Phelps,8,Harrisburg Hustle (NBHL PHI),2,2,0,2,7,0
Myles Sylverne,24,Chicago Raiders (NBHL CHI),3,1,1,2,0,0
Nate Taran,46,Falls Church Phantoms (NBHL D.C),2,0,2,2,0,0
Nathan Hardy,11,Austin Arsenal (NBHL TX),4,0,2,2,4,0
Nick Pyznarski,28,Chicago Southsiders (NBHL CHI),3,1,1,2,0,0
Nick Stenderowicz,66,Dallas Fort Worth Marksmen (NBHL TX),4,0,2,2,0,0
Phil Laboda,61,Pitcairn Governors (NBHL PIT),5,2,0,2,0,0
Richey Allen,89,Penn Hills Imperium (NBHL PIT),6,1,1,2,0,0
Robbie Petroccione,37,Boston Ball Hockey Team (NBHL MA),2,0,2,2,0,0
Rohan Ganta,29,Mid Jersey Mutants (NBHL NJ(2)),7,1,1,2,2,0
Roman Rennebeck,75,Steel City Show Stoppers (NBHL PIT),2,2,0,2,4,0
Roy Duttine,15,Pittsburgh Pioneers (NBHL PIT),6,1,1,2,12,0
Scott Bokoski,26,Liverpool Hockey Club (NBHL BUF),2,0,2,2,0,0
Scott Storer,13,Harrisburg Hustle (NBHL PHI),2,1,1,2,0,0
Shane Uhle,90,Chicago Raiders (NBHL CHI),3,1,1,2,0,0
Shawn Evans,9,Pitcairn Governors (NBHL PIT),5,1,1,2,2,0
Steve Carlos,89,Southcoast Scrappers (NBHL NE),6,1,1,2,0,0
Steve Kendall,19,Cleghorn Crooks (NBHL MA),6,1,1,2,0,0
Steve Neven,48,Chicago Southsiders (NBHL CHI),3,2,0,2,0,0
Steve Tomlin,56,Philadelphia Fear (NBHL PHI),2,2,0,2,0,0
Sydnie Fiocca,6,Austin Arsenal (NBHL TX),4,0,2,2,0,0
Taras Chernetskiy,70,Pittsburgh Pioneers (NBHL PIT),4,2,0,2,4,0
Tim Murkland,9,Portland Golden Eagles (NBHL PNW),2,2,0,2,0,0
Tim Ryan,77,Marlton Dawgz (NBHL NJ),5,1,1,2,2,0
Tyler Maher,27,South Jersey Space Pirates (NBHL NJ(2)),5,0,2,2,2,0
Zach Buswell,40,Falls Church Phantoms (NBHL D.C),2,2,0,2,0,0
Zach Smith,61,Penn Hills Imperium (NBHL PIT),5,1,1,2,0,0
AJ Lear,96,Camden County Cobras (NBHL NJ(2)),2,0,1,1,0,0
Adam Wodach,14,Dallas Fort Worth Marksmen (NBHL TX),4,0,1,1,0,0
Aiden Casper,29,Bellmawr Hawks (NBHL NJ),3,0,1,1,2,0
Alex DeYoung,18,Seattle Leafs (NBHL PNW),2,0,1,1,0,0
Amit Mistry,10,Maryland Sparks (NBHL D.C),6,1,0,1,2,0
Andrew Demers,15,Lowell Lizard Kings (NBHL MA),1,1,0,1,2,0
Andrew Dorsey,22,Mon Valley Warbirds (NBHL PIT),3,1,0,1,0,0
Andrew Gullett,36,Dallas Fort Worth Marksmen (NBHL TX),4,0,1,1,2,0
Andrew Mannello,11,South Jersey Best Friends (NBHL NJ(2)),4,1,0,1,0,0
Andrew Pruitt,6,Buffalo 716ers (NBHL BUF),4,0,1,1,0,0
Angelo Koskinas,75,Delco Demons (NBHL PHI),1,0,1,1,2,0
Anthony Sacco,14,South Jersey Space Pirates (NBHL NJ(2)),5,0,1,1,0,0
Arthur Von Wiegand,1,Mid Jersey Mutants (NBHL NJ(2)),7,0,1,1,6,0
Austin Junik,21,Buffalo Goodfellas (NBHL BUF),4,1,0,1,2,0
Bill Little,92,Chicago Dolphins (NBHL CHI),1,0,1,1,0,0
Brandon Bigenho,86,Pittsburgh Pioneers (NBHL PIT),3,0,1,1,0,0
Brandon Gazzo,10,Pitcairn Governors (NBHL PIT),5,1,0,1,0,0
Brandon Hermann,18,Pennsylvania Nights Watch (NBHL PHI),2,1,0,1,0,0
Brandon Melanson,19,Twin City Classics (NBHL MA),1,0,1,1,0,0
Brandon Santiago,88,Buffalo Goodfellas (NBHL BUF),4,0,1,1,2,0
Brendan Blight,13,Pennsylvania Nights Watch (NBHL PHI),2,1,0,1,0,0
Brett Holman,6,Oak Ridge Owls (NBHL MA),2,0,1,1,0,0
Brett Starr,10,South Jersey Best Friends (NBHL NJ(2)),4,0,1,1,0,0
Brian Mcguiness,17,South Jersey Vikings (NBHL NJ(2)),2,1,0,1,0,0
Cal Bertram,8,Pitcairn Governors (NBHL PIT),5,0,1,1,6,0
Cameron Jones,77,Boston Ball Hockey Team (NBHL MA),2,0,1,1,0,0
Charlie Jones,19,Bay Area Bashers (NBHL Cal),1,0,1,1,0,0
Chris Casto,96,Providence Iron Stags (NBHL NE),5,0,1,1,0,0
Chris Charlton,73,Philadelphia Heat (NBHL PHI),2,0,1,1,2,0
Chris Eng,97,Arlington Plague (NBHL D.C),5,0,1,1,2,0
Chris Geisler,1,Liverpool Hockey Club (NBHL BUF),2,1,0,1,2,0
Chris McCambridge,12,Penn Hills Battalion (NBHL PIT),6,0,1,1,0,0
Chris Razza,85,Providence Iron Stags (NBHL NE),5,0,1,1,0,0
Cody Sepe,16,Penn Hills Battalion (NBHL PIT),5,0,1,1,0,0
Cody Smith,10,Buffalo 716ers (NBHL BUF),4,0,1,1,8,0
Colin Devine,49,Evesham Tortugas (NBHL NJ),1,0,1,1,0,0
Colin Downing,31,Penn Hills Imperium (NBHL PIT),3,0,1,1,0,0
Connor Ryan,7,Marlton Dawgz (NBHL NJ),5,0,1,1,2,0
Corey Jablonski,96,Liverpool Hockey Club (NBHL BUF),2,1,0,1,4,0
Dan Berube,15,Boston Ball Hockey Team (NBHL MA),2,1,0,1,0,0
Dan Brady,10,Philadelphia Fear (NBHL PHI),2,0,1,1,0,0
Dan Hendrigan,20,South Shore Shamrocks (NBHL NE),3,0,1,1,0,0
Dan Scaltreto,5,Boston Ball Hockey Team (NBHL MA),2,0,1,1,2,0
Daniel Demarco,4,Philadelphia Powerhouse (NBHL PHI),1,0,1,1,0,0
Danny Donovan,19,Boston Ball Hockey Team (NBHL MA),2,0,1,1,0,0
Danny Tibbrine,10,Mays Landing Mojo (NBHL NJ(2)),6,1,0,1,0,0
Dave Magliocco,83,Pitcairn Governors (NBHL PIT),4,0,1,1,6,0
Dave Parquette,18,Southcoast Scrappers (NBHL NE),6,0,1,1,0,0
David Gray,12,Lakeland Caribou (NBHL NJ),5,0,1,1,0,0
Doug Croteau,2,Cleghorn Crooks (NBHL MA),6,1,0,1,0,0
Eddie Armstrong,89,Chicago Raiders (NBHL CHI),3,0,1,1,0,0
Eddie Swietek,35,Chicago Southsiders (NBHL CHI),2,0,1,1,0,0
Edward Costa,23,Southcoast Scrappers (NBHL NE),6,1,0,1,2,0
Eli Ingram,93,South Jersey Atlantis (NBHL NJ(2)),2,1,0,1,0,0
Eric Hernady,2,Liverpool Hockey Club (NBHL BUF),2,0,1,1,0,0
Eric Krasich,6,Chicago Southsiders (NBHL CHI),3,0,1,1,0,0
Eric Stocklin,2,South Jersey Atlantis (NBHL NJ(2)),2,0,1,1,0,0
Frank Dente,91,Mid Jersey Mutants (NBHL NJ(2)),6,0,1,1,0,0
Frank Facciponti,16,Mid Jersey Mutants (NBHL NJ(2)),6,1,0,1,0,0
Frank Klein,9,Chicago Raiders (NBHL CHI),3,1,0,1,0,0
Gabe Barrera,1,Chicago Raiders (NBHL CHI),3,1,0,1,2,0
Gary Morris,22,Arlington Plague (NBHL D.C),5,1,0,1,0,0
Glenn Williamson,37,Portland Golden Eagles (NBHL PNW),2,0,1,1,0,0
Greg Goe,9,Harrisburg Hustle (NBHL PHI),2,0,1,1,0,0
Harrison Litzinger,12,Penn Hills Imperium (NBHL PIT),6,1,0,1,0,0
Ian Garvin,14,South Jersey Atlantis (NBHL NJ(2)),2,0,1,1,2,0
Jacob Mauro,2,Twin City Classics (NBHL MA),1,0,1,1,0,0
Jake Ferreira,94,Providence Iron Stags (NBHL NE),5,0,1,1,0,0
Jake Schiffman,13,Nickel City Smoke (NBHL BUF),2,0,1,1,0,0
Jamal Adams,66,Harrisburg Hustle (NBHL PHI),2,0,1,1,12,0
James Dillard,3,Portland Golden Eagles (NBHL PNW),2,0,1,1,2,0
Jamie Kerr,21,Austin Arsenal (NBHL TX),4,0,1,1,0,0
Jamie Lorimer,34,Mid Jersey Mutants (NBHL NJ(2)),7,0,1,1,4,0
Jared Bergeron,1,Central Mass Sea Bass (NBHL MA),6,1,0,1,2,0
Jarrod Herschk,20,Steel City Show Stoppers (NBHL PIT),2,0,1,1,0,0
Jason Albright,14,Harrisburg Hustle (NBHL PHI),2,0,1,1,0,0
Jay Soliday,1,Pennsylvania Nights Watch (NBHL PHI),2,1,0,1,6,0
Jeff Krem,29,Portland Golden Eagles (NBHL PNW),2,0,1,1,0,0
Jeremy Ferdette,4,Chicago Raiders (NBHL CHI),2,1,0,1,0,0
Jerry Lynch,77,Cleghorn Crooks (NBHL MA),6,0,1,1,0,0
Jim Gauntt,7,New Jersey Dudes (NBHL NJ(2)),2,1,0,1,2,0
Joe Apicella,4,Oak Ridge Owls (NBHL MA),2,0,1,1,0,0
Joe Galiano,20,Penn Hills Imperium (NBHL PIT),6,0,1,1,2,0
Joe Magosin,8,Mays Landing Mojo (NBHL NJ(2)),6,0,1,1,2,0
Joe Melillo,20,Lakeland Caribou (NBHL NJ),5,1,0,1,0,0
Joey Britz,68,South Jersey Vikings (NBHL NJ(2)),2,1,0,1,0,0
John Dominic,31,Pitcairn Governors (NBHL PIT),5,0,1,1,0,0
John Ferriera,15,Southcoast Scrappers (NBHL NE),6,0,1,1,0,0
John Silva,22,Providence Iron Stags (NBHL NE),5,1,0,1,0,0
Jojo Hussein,9,Nickel City Smoke (NBHL BUF),2,0,1,1,0,0
Jon Bendorf,69,New Jersey Dudes (NBHL NJ(2)),2,0,1,1,0,0
Jon Casper,19,Bellmawr Hawks (NBHL NJ),3,0,1,1,0,0
Jonathan Anderson,6,Burnside Bears (NBHL PNW),1,1,0,1,0,0
Jonathan Gould,28,Boston Ball Hockey Team (NBHL MA),2,0,1,1,0,0
Josh Caron,34,Cleghorn Crooks (NBHL MA),6,0,1,1,0,0
Josh Espinola,16,Lowell Lizard Kings (NBHL MA),1,0,1,1,0,0
Josh Rota,6,South Jersey Vikings (NBHL NJ(2)),2,1,0,1,0,0
Keith Ingram,10,Falls Church Phantoms (NBHL D.C),2,0,1,1,0,0
Kerry Hew,17,Orange County Wolves (NBHL Cal),2,0,1,1,0,0
